child_unit,relationship,rel_type,parent_unit
MATH1722,REQUIRES,,ATAR_METH
MATH1722,REQUIRES,,MATH1721 
PHYS1030,REQUIRES,,ATAR_METH
PHYS1030,REQUIRES,,MATH1721 
PHYS1030,REQUIRES,,ATAR_SPEC
PHYS1030,REQUIRES,,MATH1722 
CHPR2006,REQUIRES,,CHEM1001 
CHPR2006,REQUIRES,,MATH1011
CHPR2006,REQUIRES,,CHPR1005 
CHPR2007,REQUIRES,,CHPR1005
CHPR2007,REQUIRES,,MATH1011
CHPR2018,REQUIRES,,CHPR1005 
CITS2401,REQUIRES,,ATAR_METH
CITS2401,REQUIRES,,MATH1721
GENG2000,REQUIRES,,GENG1000
GENG2000,REQUIRES,,ENSC1003
GENG2003,REQUIRES,,MATH1011
GENG2003,REQUIRES,,MATH1012
GENG2003,REQUIRES,,PHYS1001
CHPR3018,REQUIRES,,GENG2000
CHPR3018,REQUIRES,,CHPR2018 
CHPR3019,REQUIRES,,CHPR2006
CHPR3019,REQUIRES,,CHPR2007 
CHPR3019,REQUIRES,,GENG2003
CHPR3404,REQUIRES,,CHPR2006
CHPR3404,REQUIRES,,CHPR2007
CHPR3404,REQUIRES,,MATH1012
CHPR3405,REQUIRES,,GENG2003
CHPR3406,REQUIRES,,CHPR2006 
CHPR3407,REQUIRES,,GENG2003
CHPR3407,REQUIRES,,CHPR2007 
CHPR3407,REQUIRES,,MECH3024 
GENG3000,REQUIRES,,GENG2000
GENG3402,REQUIRES,,MATH1011
GENG3402,REQUIRES,,MATH1012 
CHPR4501,REQUIRES,,CHPR3406 
CHPR4501,REQUIRES,,CHPR2007 
CHPR5550,REQUIRES,,CHPR3019
CHPR5550,REQUIRES,,CHPR3018
CHPR5550,REQUIRES,,GENG3000 
CHPR5550,REQUIRES,,CHPR3406 
GENG4411,REQUIRES,,GENG3000 
GENG4412,REQUIRES,,GENG4511
GENG5507,REQUIRES,,MATH1011
GENG5507,REQUIRES,,MATH1012 
CHPR4408,REQUIRES,,GENG2003 
CHPR4408,REQUIRES,,CHPR2007 
CHPR5520,REQUIRES,,CHPR3406 
CHPR5521,REQUIRES,,CHPR3404 
CHPR5522,REQUIRES,,CHPR3404 
GENG5516,REQUIRES,,CHPR2006 
ENVE4401,REQUIRES,,GENG2010
ENVE4401,REQUIRES,,GENG2003
GENG4403,REQUIRES,,ENSC1004 
GENG4403,REQUIRES,,MINE2001
GENG5504,REQUIRES,,GENG2003 
GENG5506,REQUIRES,,ENSC2003
GENG5506,REQUIRES,,MATH1012
