child_unit,relationship,rel_type,year,parent_unit
CHPR3405,REQUIRES,AND,2023,GENG2003
GENG5504,REQUIRES,AND,2023,GENG2003
GENG5514,REQUIRES,AND,2023,GENG2004
GENG5514,REQUIRES,AND,2023,GENG3405
MECH4428,REQUIRES,AND,2023,MECH2002
MECH5504,REQUIRES,AND,2023,MECH2002
MECH5504,REQUIRES,AND,2023,GENG2004
CITS1401,REQUIRES,NA,2023,ATAR_APP
CITS1401,REQUIRES,OR,2023,MATH1720
CITS1402,REQUIRES,NA,2023,ATAR_APP
CITS1402,REQUIRES,OR,2023,MATH1720
CITS2005,REQUIRES,NA,2023,ATAR_METH
CITS2005,REQUIRES,AND,2023,MATH1721
CITS2200,REQUIRES,AND,2023,CITS1001
CITS2200,REQUIRES,NA,2023,ATAR_METH
CITS2200,REQUIRES,OR,2023,MATH1721
CITS2211,REQUIRES,NA,2023,ATAR_METH
CITS2211,REQUIRES,OR,2023,MATH1721
STAT2063,REQUIRES,AND,2023,MATH1011
STAT2063,REQUIRES,AND,2023,MATH1012
CITS3002,REQUIRES,AND,2023,CITS2002
CITS3005,REQUIRES,AND,2023,CITS2200
CITS3005,REQUIRES,AND,2023,CITS2211
CITS3200,REQUIRES,OR,2023,CITS2002
CITS3200,REQUIRES,OR,2023,CITS2200
CITS3200,REQUIRES,OR,2023,CITS2402
CITS3301,REQUIRES,OR,2023,CITS2005
CITS3301,REQUIRES,OR,2023,CITS1001
CITS3403,REQUIRES,OR,2023,CITS1001
CITS3403,REQUIRES,OR,2023,CITS1401
CITS3403,REQUIRES,OR,2023,CITS2002
ELEC3020,REQUIRES,AND,2023,GENG2000
ELEC3020,REQUIRES,OR,2023,CITS1001
ELEC3020,REQUIRES,OR,2023,CITS1401
ELEC3020,REQUIRES,OR,2023,CITS2005
ELEC3020,REQUIRES,OR,2023,CITS2401
CITS4419,REQUIRES,AND,2023,CITS3002
CITS5501,REQUIRES,AND,2023,CITS3301
MECH5552,COREQUIRES,AND,2023,GENG5505
MECH5551,COREQUIRES,AND,2023,MECH4429
MATH3023,COREQUIRES,AND,2023,MATH1012
ENSC2003,COREQUIRES,AND,2023,MATH1012
PHYS1001,COREQUIRES,AND,2023,MATH1722
CHEM1001,REQUIRES,AND,2023,CHEM1003
CHEM1001,REQUIRES,NA,2023,ATAR_CHEM
CHEM1002,REQUIRES,AND,2023,CHEM1003
CHEM1002,REQUIRES,NA,2023,ATAR_CHEM
CHPR1005,REQUIRES,AND,2023,CHEM1003
CHPR1005,REQUIRES,NA,2023,ATAR_CHEM
CHPR1005,REQUIRES,NA,2023,ATAR_METH
CHPR1005,REQUIRES,AND,2023,MATH1721
ENSC1004,REQUIRES,NA,2023,ATAR_CHEM
ENSC1004,REQUIRES,AND,2023,CHEM1003
ENSC1004,REQUIRES,AND,2023,MATH1721
ENSC1004,REQUIRES,NA,2023,ATAR_PHYS
ENSC1004,REQUIRES,AND,2023,PHYS1030
GENG1000,REQUIRES,AND,2023,GENG1010
MATH1011,REQUIRES,NA,2023,ATAR_SPEC
MATH1011,REQUIRES,AND,2023,MATH1722
MATH1012,REQUIRES,NA,2023,ATAR_SPEC
MATH1012,REQUIRES,AND,2023,MATH1722
PHYS1001,REQUIRES,NA,2023,ATAR_PHYS
PHYS1001,REQUIRES,AND,2023,PHYS1030
PHYS1001,REQUIRES,NA,2023,ATAR_METH
PHYS1001,REQUIRES,AND,2023,MATH1721
MATH1722,REQUIRES,NA,2023,ATAR_METH
PHYS1030,REQUIRES,NA,2023,ATAR_METH
PHYS1030,REQUIRES,OR,2023,MATH1721
PHYS1030,REQUIRES,NA,2023,ATAR_SPEC
PHYS1030,REQUIRES,OR,2023,MATH1722
CHPR2006,REQUIRES,AND,2023,CHEM1001
CHPR2006,REQUIRES,AND,2023,MATH1011
CHPR2006,REQUIRES,AND,2023,CHPR1005
CHPR2007,REQUIRES,AND,2023,CHPR1005
CHPR2007,REQUIRES,AND,2023,MATH1011
CHPR2018,REQUIRES,AND,2023,CHPR1005
CITS2401,REQUIRES,NA,2023,ATAR_METH
CITS2401,REQUIRES,AND,2023,MATH1721
GENG2000,REQUIRES,AND,2023,GENG1000
GENG2000,REQUIRES,OR,2023,ENSC1003
GENG2003,REQUIRES,AND,2023,MATH1011
GENG2003,REQUIRES,AND,2023,MATH1012
GENG2003,REQUIRES,AND,2023,PHYS1001
CHPR3018,REQUIRES,AND,2023,GENG2000
CHPR3018,REQUIRES,AND,2023,CHPR2018
CHPR3018,COREQUIRES,AND,2023,CHPR3019
CHPR3019,REQUIRES,AND,2023,CHPR2006
CHPR3019,REQUIRES,AND,2023,CHPR2007
CHPR3019,REQUIRES,AND,2023,GENG2003
CHPR3404,REQUIRES,AND,2023,CHPR2006
CHPR3404,REQUIRES,AND,2023,CHPR2007
CHPR3404,REQUIRES,AND,2023,MATH1012
CHPR3405,REQUIRES,AND,2023,GENG2003
CHPR3406,REQUIRES,AND,2023,CHPR2006
CHPR3407,REQUIRES,AND,2023,GENG2003
CHPR3407,REQUIRES,OR,2023,CHPR2007
CHPR3407,REQUIRES,OR,2023,MECH3024
GENG3000,REQUIRES,AND,2023,GENG2000
GENG3402,REQUIRES,AND,2023,MATH1011
GENG3402,REQUIRES,AND,2023,MATH1012
CHPR4501,REQUIRES,AND,2023,CHPR3406
CHPR4501,REQUIRES,AND,2023,CHPR2007
CHPR5550,REQUIRES,AND,2023,CHPR3019
CHPR5550,REQUIRES,AND,2023,CHPR3018
CHPR5550,REQUIRES,AND,2023,GENG3000
CHPR5550,REQUIRES,AND,2023,CHPR3406
GENG4411,REQUIRES,AND,2023,GENG3000
GENG4412,REQUIRES,AND,2023,GENG4411
GENG5507,REQUIRES,AND,2023,MATH1011
GENG5507,REQUIRES,AND,2023,MATH1012
CHPR4408,REQUIRES,AND,2023,GENG2003
CHPR4408,REQUIRES,AND,2023,CHPR2007
CHPR5520,REQUIRES,AND,2023,CHPR3406
CHPR5521,REQUIRES,AND,2023,CHPR3404
CHPR5522,REQUIRES,AND,2023,CHPR3404
GENG5516,REQUIRES,AND,2023,CHPR2006
ENVE4401,REQUIRES,OR,2023,GENG2010
ENVE4401,REQUIRES,OR,2023,GENG2003
GENG4403,REQUIRES,OR,2023,ENSC1004
GENG4403,REQUIRES,OR,2023,MINE2001
GENG5504,REQUIRES,AND,2023,GENG2003
GENG5506,REQUIRES,AND,2023,ENSC2003
GENG5506,REQUIRES,AND,2023,MATH1012
